ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator,inhabitants_inside5km_VAC,inhabitants_inside5km_Battles,inhabitants_inside5km_Riots,inhabitants_inside5km_Protests,inhabitants_inside5km_ERV,inhabitants_inside5km_SD
BF130001,20390.67517,0,0,0,0,0,0,0,0
BF130002,131796.6865,69634.7214,0.52834956,4.01E-06,0,0,0,0.52834956,0
BF130003,44651.82881,12220.89786,0.273693109,6.13E-06,0,0,0,0.273693109,0
BF130004,3464448.123,1902430.938,0.549129579,1.59E-07,0.340972723,0.2192283,0.511448943,0.249422303,0.210432139
BF130005,26230.1028,0,0,0,0,0,0,0,0
BF130006,120411.8643,74662.03645,0.620055481,5.15E-06,0,0,0.620055481,0,0
BF130007,62347.76649,19280.90943,0.309247797,4.96E-06,0.309247797,0,0.309247797,0,0
BF460101,39561.2816,0,0,0,0,0,0,0,0
BF460102,18121.36533,0,0,0,0,0,0,0,0
BF460103,30411.10443,16758.46082,0.551063867,1.81E-05,0.551063867,0.551063867,0,0,0
BF460104,49347.46363,0,0,0,0,0,0,0,0
BF460105,33253.73405,0,0,0,0,0,0,0,0
BF460106,33772.34699,0,0,0,0,0,0,0,0
BF460107,13972.34362,0,0,0,0,0,0,0,0
BF460108,14425.61477,0,0,0,0,0,0,0,0
BF460109,21113.81151,0,0,0,0,0,0,0,0
BF460110,21147.35733,0,0,0,0,0,0,0,0
BF460201,22960.22734,4633.599617,0.201809832,8.79E-06,0.201809832,0,0,0,0
BF460202,64385.94657,16838.28317,0.261521094,4.06E-06,0,0,0,0.261521094,0
BF460203,11905.7797,98.89644265,0.008306591,6.98E-07,0,0.008306591,0,0,0
BF460204,37768.93349,11459.89956,0.303421318,8.03E-06,0.074616969,0.172141866,0,0,0
BF460205,159737.2479,27344.99938,0.17118737,1.07E-06,0.015267227,0,0.155920143,0.155920143,0
BF460206,41185.49538,46.08369565,0.00111893,2.72E-08,0,0,0,0,0
BF460301,67394.68786,47387.15543,0.70312894,1.04E-05,0.530728204,0.328365984,0,0,0.068815628
BF460302,13124.98372,406.6218193,0.030980748,2.36E-06,0.030980748,0,0,0,0
BF460303,11157.02369,4345.062092,0.389446345,3.49E-05,0.228648562,0.160797782,0,0,0
BF460304,60454.76467,17087.06123,0.282642093,4.68E-06,0.282642093,0,0,0,0
BF460305,35072.89228,1932.262576,0.055092764,1.57E-06,0.055092764,0,0,0,0
BF460306,34572.32616,0,0,0,0,0,0,0,0
BF460307,13494.5499,9363.025335,0.693837542,5.14E-05,0.683104396,0.448884201,0,0,0
BF460308,5015.31292,2091.943329,0.417111228,8.32E-05,0,0.417111228,0,0,0
BF460309,85355.05938,27281.79464,0.319627153,3.74E-06,0.318581908,0.305671946,0,0.3046267,0
BF460311,8565.736165,3290.851905,0.384187867,4.49E-05,0.384187867,0.384187867,0,0,0
BF460401,72176.94479,0,0,0,0,0,0,0,0
BF460402,116131.3989,55866.60689,0.481063756,4.14E-06,0.082152609,0.412169465,0,0.45586154,0
BF460403,15388.96756,0,0,0,0,0,0,0,0
BF460404,26961.05573,0,0,0,0,0,0,0,0
BF460405,46432.92694,0,0,0,0,0,0,0,0
BF460406,62808.52324,0,0,0,0,0,0,0,0
BF460407,45851.73427,8937.020366,0.194911283,4.25E-06,0,0,0.194911283,0,0
BF460501,39910.59577,20.63210726,5.17E-04,1.30E-08,0.000516958,0,0,0,0
BF460502,19732.46763,3309.498545,0.167718433,8.50E-06,0.167718433,0,0,0,0
BF460503,20819.4605,0,0,0,0,0,0,0,0
BF460504,33616.80227,0,0,0,0,0,0,0,0
BF460505,37408.5342,0,0,0,0,0,0,0,0
BF460506,39395.58458,0,0,0,0,0,0,0,0
BF460601,24093.66191,11165.47309,0.463419514,1.92E-05,0.107524384,0.355895129,0,0,0
BF460602,15742.32486,9334.448738,0.592952364,3.77E-05,0.592952364,0.379035987,0,0.080066214,0.379035987
BF460603,22917.47771,9290.504478,0.405389485,1.77E-05,0,0.135781063,0,0,0
BF460604,35391.62553,0,0,0,0,0,0,0,0
BF460605,22891.24039,17056.00101,0.745088546,3.25E-05,0.121645506,0.623443039,0,0,0
BF460606,22335.3126,9640.084641,0.43160733,1.93E-05,0.43160733,0,0,0,0
BF460607,35187.86909,13756.28015,0.390938142,1.11E-05,0.148882681,0.250866805,0,0,0.188590585
BF460608,73009.89496,22168.14307,0.303632036,4.16E-06,0.299399736,0.002666237,0.245995936,0,0.247561999
BF470101,154852.8872,109473.8844,0.706954106,4.57E-06,0.621056357,0.653723709,0.56782596,0.56782596,0
BF470102,12600.12327,0,0,0,0,0,0,0,0
BF470103,93400.24542,18029.80747,0.193038117,2.07E-06,0,0.193038117,0,0,0.022793267
BF470104,17191.78076,0,0,0,0,0,0,0,0
BF470105,111487.709,12812.39473,0.114922038,1.03E-06,0,0.044441979,0,0,0.070480059
BF470106,108838.133,10226.27519,0.093958569,8.63E-07,0.072324152,0.053561729,0,0,0.021634416
BF470107,217994.228,28150.57864,0.129134514,5.92E-07,0.026583849,0.121992971,0,0,0
BF470108,47797.77422,2458.262793,0.051430487,1.08E-06,0,0.051430487,0,0,0
BF470109,102194.748,0,0,0,0,0,0,0,0
BF470201,17584.20809,0,0,0,0,0,0,0,0
BF470202,10767.49638,0,0,0,0,0,0,0,0
BF470203,12195.76776,0,0,0,0,0,0,0,0
BF470204,37311.58833,0,0,0,0,0,0,0,0
BF470205,52488.14608,0,0,0,0,0,0,0,0
BF470206,14695.66389,0,0,0,0,0,0,0,0
BF470207,22786.09986,0,0,0,0,0,0,0,0
BF470208,5618.824086,0,0,0,0,0,0,0,0
BF480101,45009.76864,0,0,0,0,0,0,0,0
BF480102,36572.1563,0,0,0,0,0,0,0,0
BF480103,27580.33929,24432.04637,0.885850102,3.21E-05,0,0,0,0.885850102,0
BF480104,67852.9873,0,0,0,0,0,0,0,0
BF480105,104539.447,4619.346725,0.044187595,4.23E-07,0.044187595,0.044187595,0,0,0
BF480106,26430.02837,527.2764204,0.0199499,7.55E-07,0,0,0,0.0199499,0
BF480107,97129.67353,42209.14634,0.434564895,4.47E-06,0.349774075,0,0,0.434564895,0
BF480108,27092.47302,18.37899494,6.78E-04,2.50E-08,0,0,0,0.00067838,0
BF480109,19469.24214,10876.13751,0.558631786,2.87E-05,0,0,0,0.558631786,0
BF480110,157340.9009,53824.33408,0.342087364,2.17E-06,0.013910143,0,0,0.013910143,0
BF480111,106778.4453,21706.4755,0.20328518,1.90E-06,0.06580228,3.38E-05,0,0,0.1374829
BF480112,11241.78335,5783.297393,0.514446615,4.58E-05,0.514446615,0.514446615,0,0,0
BF480113,17615.09431,11852.97464,0.672887379,3.82E-05,0,0.487842471,0,0,0.000243022
BF480202,14762.05964,0,0,0,0,0,0,0,0
BF480201,72443.25822,17939.65005,0.247637261,3.42E-06,0.247637261,0,0,0.17871478,0
BF480203,16571.60296,0,0,0,0,0,0,0,0
BF480204,52429.96878,18068.8349,0.344627993,6.57E-06,0,0,0,0.344627993,0
BF480205,61882.33963,16310.50738,0.263572895,4.26E-06,0.061988728,0.253574439,0.061988728,0,0
BF480206,60382.98275,14295.0788,0.23674019,3.92E-06,0.193563445,0.054108993,0,0,0.010932248
BF480207,57749.2896,20314.54795,0.351771391,6.09E-06,0.351771391,0.332029846,0.351771391,0,0
BF480208,37172.77277,151.3843088,0.004072451,1.10E-07,0.00348733,0,0,0.000585121,0
BF480301,61136.14732,8934.590566,0.146142519,2.39E-06,0.027642309,0.118500209,0,0.027642309,0
BF480302,19053.91113,0,0,0,0,0,0,0,0
BF480303,46181.0235,0,0,0,0,0,0,0,0
BF480304,36197.9583,0,0,0,0,0,0,0,0
BF480305,40295.59476,162.0266848,0.004020953,9.98E-08,0.004020953,0,0,0.004020953,0
BF480306,81175.9167,4629.621684,0.057031961,7.03E-07,0.013335768,0.037405869,0,0.019626092,0
BF480307,115699.4819,98201.69248,0.848765188,7.34E-06,0.782388625,0,0,0.848765188,0
BF480308,23877.35165,0,0,0,0,0,0,0,0
BF480309,23114.08353,0,0,0,0,0,0,0,0
BF490101,67200.96783,57022.17907,0.848532111,1.26E-05,0.789546579,0.558404237,0,0,0.080854748
BF490102,28321.49556,11030.69621,0.389481417,1.38E-05,0,0.389481417,0,0,0
BF490103,95450.51613,54178.99823,0.567613465,5.95E-06,0.513124054,0.398182201,0,0.398182201,0
BF490104,12993.68496,12721.43593,0.979047589,7.53E-05,0.899142387,0,0,0,0
BF490105,38253.87424,10610.95114,0.277382392,7.25E-06,0.003183302,0.275903457,0,0,0
BF490106,16261.13737,0,0,0,0,0,0,0,0
BF490107,28656.12268,1009.771397,0.035237544,1.23E-06,0.021940753,0,0,0,0
BF490108,41768.69067,0,0,0,0,0,0,0,0
BF490109,34667.71622,32396.58269,0.934488516,2.70E-05,0.858886621,0.022312315,0,0.003857131,0
BF490201,45760.02101,0,0,0,0,0,0,0,0
BF490202,101799.0723,22740.41547,0.223385292,2.19E-06,0.211256519,0,0.012128773,0.211256519,0
BF490203,52507.16052,21239.43035,0.404505407,7.70E-06,0.315939243,0.206017821,0,0,0
BF490204,35103.06789,0,0,0,0,0,0,0,0
BF490205,22371.34857,6032.207388,0.269639864,1.21E-05,0.001118722,0.07456093,0,0,0
BF490206,106216.6283,24409.51962,0.229808835,2.16E-06,0.152925218,0.151233078,0,0,0
BF490207,46958.15785,0,0,0,0,0,0,0,0
BF490208,29523.48386,0,0,0,0,0,0,0,0
BF490301,118553.6437,77238.21696,0.65150437,5.50E-06,0.520880867,0.372033538,0,0.116478665,0.131189553
BF490302,106166.9177,20446.44036,0.19258768,1.81E-06,0.19258768,0,0.051459587,0.051459587,0
BF490303,29400.01333,20051.63797,0.682028193,2.32E-05,0.529242551,0.53436444,0,0,0
BF490304,157496.5531,82971.93364,0.526817457,3.34E-06,0.526406177,0,0.443563278,0.443563278,0
BF490305,57174.17353,0,0,0,0,0,0,0,0
BF490306,60603.70906,0,0,0,0,0,0,0,0
BF490307,10914.27038,7861.398473,0.720286212,6.60E-05,0.527446271,0.320072455,0,0,0
BF490308,50548.63205,36215.03163,0.7164394,1.42E-05,0.613649103,0.411107569,0,0,0.018648372
BF490309,37029.27649,0,0,0,0,0,0,0,0
BF490310,127271.2912,56127.84814,0.441009497,3.47E-06,0.372855983,0.258959626,0,9.35E-05,0
BF490311,36621.6035,0,0,0,0,0,0,0,0
BF500101,16592.32621,0,0,0,0,0,0,0,0
BF500102,31715.84155,0,0,0,0,0,0,0,0
BF500103,39871.76192,0,0,0,0,0,0,0,0
BF500104,39141.83877,0,0,0,0,0,0,0,0
BF500105,169672.7033,98858.15239,0.582640286,3.43E-06,0,0,0,0.582640286,0
BF500107,31172.75421,0,0,0,0,0,0,0,0
BF500106,37104.86357,0,0,0,0,0,0,0,0
BF500108,23469.14338,0,0,0,0,0,0,0,0
BF500109,33532.74945,0,0,0,0,0,0,0,0
BF500110,22376.54682,0,0,0,0,0,0,0,0
BF500111,57542.15367,0,0,0,0,0,0,0,0
BF500112,30136.61738,958.7312531,0.031812836,1.06E-06,0,0,0.031812836,0,0
BF500113,19129.2975,0,0,0,0,0,0,0,0
BF500114,15219.1658,0,0,0,0,0,0,0,0
BF500115,53690.19872,0,0,0,0,0,0,0,0
BF500201,19292.02089,0,0,0,0,0,0,0,0
BF500202,47985.50106,2158.816016,0.044988923,9.38E-07,0.044988923,0,0,0,0
BF500203,25904.13014,0,0,0,0,0,0,0,0
BF500204,19808.85796,0,0,0,0,0,0,0,0
BF500205,26575.64284,0,0,0,0,0,0,0,0
BF500206,49887.23635,0,0,0,0,0,0,0,0
BF500207,69451.4971,5239.829699,0.075445886,1.09E-06,0,0,0,0.075445886,0
BF500208,44430.48563,0,0,0,0,0,0,0,0
BF500209,17684.41246,0,0,0,0,0,0,0,0
BF500210,28028.41733,109.5161314,0.003907325,1.39E-07,0.003907325,0.003907325,0,0,0
BF500301,54475.73026,9873.735819,0.181250178,3.33E-06,0,0,0,0.077887728,0
BF500302,22675.49424,0,0,0,0,0,0,0,0
BF500303,81714.94642,35226.56713,0.431090867,5.28E-06,0.428854986,0,0,0.428854986,0
BF500304,9007.813432,0,0,0,0,0,0,0,0
BF500305,42137.18576,0,0,0,0,0,0,0,0
BF500306,34255.07588,0,0,0,0,0,0,0,0
BF500307,62551.58812,0,0,0,0,0,0,0,0
BF500401,37769.65956,0,0,0,0,0,0,0,0
BF500402,28721.10832,0,0,0,0,0,0,0,0
BF500404,11348.291,0,0,0,0,0,0,0,0
BF500405,22729.8236,0,0,0,0,0,0,0,0
BF500403,63479.04211,0,0,0,0,0,0,0,0
BF500406,124424.6596,21163.83928,0.170093608,1.37E-06,0.129771138,0.04032247,0,0,0
BF510101,24056.84612,1730.223754,0.071922302,2.99E-06,0,0,0.071922302,0.071922302,0
BF510102,30143.81509,0,0,0,0,0,0,0,0
BF510103,13942.37348,0,0,0,0,0,0,0,0
BF510104,39254.11687,0,0,0,0,0,0,0,0
BF510105,75617.02736,24315.67284,0.321563458,4.25E-06,0,0,0.321563458,0.321563458,0
BF510106,37234.02625,369.5278206,0.009924466,2.67E-07,0,0,0,0.009924466,0
BF510107,29788.48207,0,0,0,0,0,0,0,0
BF510201,72342.77773,19609.57168,0.271064677,3.75E-06,0.053375124,0.271064677,0,0,0
BF510202,71949.37735,21435.696,0.297927471,4.14E-06,0.016062282,0.297117618,0,0.281055337,0
BF510203,59153.17011,0,0,0,0,0,0,0,0
BF510204,7239.816173,0,0,0,0,0,0,0,0
BF510205,31609.45803,0,0,0,0,0,0,0,0
BF510301,50215.7921,0,0,0,0,0,0,0,0
BF510302,48609.14012,0,0,0,0,0,0,0,0
BF510303,63105.87608,0,0,0,0,0,0,0,0
BF510304,50686.37558,8748.353246,0.172597728,3.41E-06,0,0.095144245,0,0,0
BF510305,32204.42541,0,0,0,0,0,0,0,0
BF510306,40714.68995,0,0,0,0,0,0,0,0
BF510307,35980.22678,0,0,0,0,0,0,0,0
BF520101,136699.5866,13277.37449,0.097128125,7.11E-07,0.002976076,0.077914132,0,0,0
BF520102,114980.8017,19984.13155,0.173804072,1.51E-06,0.173804072,0,0,0.155450722,0
BF520103,39213.60265,7734.65694,0.197244232,5.03E-06,0.056379951,0.103835038,0,0,0
BF520104,53333.35121,10344.62566,0.193961666,3.64E-06,0.069925045,0.124036622,0,0,0
BF520105,118602.8048,33884.63761,0.285698451,2.41E-06,0.004039923,0.28022247,0,0.255798366,0
BF520106,81383.9677,0,0,0,0,0,0,0,0
BF520107,28800.34841,0,0,0,0,0,0,0,0
BF520201,53081.38077,0,0,0,0,0,0,0,0
BF520202,42997.84443,3002.202736,0.069822168,1.62E-06,0.01133193,0.01133193,0,0.01133193,0
BF520203,200923.3487,108614.4398,0.540576496,2.69E-06,0.496006637,0.420353597,0,0.273622418,0.134287425
BF520204,91712.98737,26241.65569,0.286128022,3.12E-06,0.272312881,0.097533227,0,0,0.047334208
