ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator
BF130001,20418.00702357292,0.0,0.0
BF130002,132811.26058149338,72027.05224728584,0.5423263956077717
BF130003,44723.10392713547,20010.66351222992,0.44743458649095624
BF130004,3465678.943150878,2924098.129944563,0.8437302410032453
BF130005,26319.428680419922,1494.2326753139496,0.05677299053324699
BF130006,121421.82428479195,84078.12986040115,0.6924466038592695
BF130007,62704.49014258385,39379.517874240875,0.6280175117395217
BF460101,39571.05275583267,10070.76085805893,0.25449817876211356
BF460102,18134.074043512344,9214.739907741547,0.5081450470330585
BF460103,30421.258150100708,16764.588688135147,0.5510813722896484
BF460104,49393.44174814224,0.0,0.0
BF460105,33253.734045505524,0.0,0.0
BF460106,33788.551896095276,0.0,0.0
BF460107,13996.145486354828,0.0,0.0
BF460108,14431.492570400238,0.0,0.0
BF460109,21117.770165205002,0.0,0.0
BF460110,21147.35732984543,0.0,0.0
BF460201,22988.14029598236,4646.289632320404,0.20211681208211682
BF460202,64418.354796886444,16838.283173561096,0.26138952518506336
BF460203,11909.045127630234,98.89644265174866,0.008304313367853358
BF460204,37773.683045864105,11459.899560451508,0.3033831661725204
BF460205,159871.28627300262,27344.999379634857,0.17104384418937768
BF460206,41212.92912864685,46.08369565010071,0.0011181854001750197
BF460301,67470.75388908386,47551.40081119537,0.704770557171568
BF460302,13124.983716726303,406.6218192577362,0.03098074847434232
BF460303,11195.065464496613,4348.998785734177,0.3884746185295961
BF460304,60502.30777215958,23246.83790063858,0.38423059808200777
BF460305,35122.73007106781,1941.8823595046997,0.055288480012102376
BF460306,34632.64464044571,7493.171702861786,0.2163615219298295
BF460307,13501.94665980339,9363.025334596634,0.6934574376946157
BF460308,5020.500554084778,2097.130963087082,0.4177135208920184
BF460309,85391.64327716827,27287.345218658447,0.3195552184197683
BF460311,8565.736165046692,3290.8519048690796,0.38418786680562456
BF460401,72229.51100730896,0.0,0.0
BF460402,116152.61290073395,55866.60689210892,0.48097589453156336
BF460403,15393.658953428268,0.0,0.0
BF460404,26977.757338047028,459.1013116836548,0.017017771563842304
BF460405,46476.70935130119,4187.356953620911,0.09009581384022143
