ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator,inhabitants_inside5km_VAC,inhabitants_inside5km_Battles,inhabitants_inside5km_Riots,inhabitants_inside5km_Protests,inhabitants_inside5km_ERV
BF130001,20390.67517,0,0,0,0,0,0,0
BF130002,131796.6865,71187.15564,0.540128569,0,71187.15564,14639.63463,70762.83013,70762.83013
BF130003,44651.82881,19982.14958,0.447510217,8123.219654,19982.14958,19873.68245,19873.68245,19873.68245
BF130004,3464448.123,2923064.489,0.843731638,1549229.824,2923064.489,2814764.449,2871551.141,2871551.141
BF130005,26230.1028,1479.553202,0.056406687,0,1479.553202,1476.342186,1479.553202,1479.553202
BF130006,120411.8643,83105.46668,0.690176729,3933.89644,83105.46668,81531.97348,81531.97348,81531.97348
BF130007,62347.76649,39128.55983,0.62758559,21718.22631,39128.55983,31479.95216,31479.95216,31479.95216
BF460101,39561.2816,10070.76086,0.254561037,0,10070.76086,10070.76086,10070.76086,10070.76086
BF460102,18121.36533,9214.739908,0.508501415,0,9214.739908,9214.739908,9214.739908,9214.739908
BF460103,30411.10443,16758.46082,0.551063867,16758.46082,16758.46082,16758.46082,16758.46082,16758.46082
BF460104,49347.46363,0,0,0,0,0,0,0
BF460105,33253.73405,0,0,0,0,0,0,0
BF460106,33772.34699,0,0,0,0,0,0,0
BF460107,13972.34362,0,0,0,0,0,0,0
BF460108,14425.61477,0,0,0,0,0,0,0
BF460109,21113.81151,0,0,0,0,0,0,0
BF460110,21147.35733,0,0,0,0,0,0,0
BF460201,22960.22734,4633.599617,0.201809832,4633.599617,4633.599617,4633.599617,4633.599617,4633.599617
BF460202,64385.94657,16838.28317,0.261521094,0,16838.28317,0,16838.28317,16838.28317
BF460203,11905.7797,98.89644265,0.008306591,0,98.89644265,0,0,0
BF460204,37768.93349,11459.89956,0.303421318,2818.203338,11459.89956,5118.00154,5118.00154,5118.00154
BF460205,159737.2479,27344.99938,0.17118737,2438.744782,27344.99938,27344.99938,27344.99938,27344.99938
BF460206,41185.49538,46.08369565,0.00111893,0,46.08369565,46.08369565,46.08369565,46.08369565
BF460301,67394.68786,47517.49174,0.705062865,35898.59796,47517.49174,35898.59796,35898.59796,40536.40574
BF460302,13124.98372,406.6218193,0.030980748,406.6218193,406.6218193,406.6218193,406.6218193,406.6218193
BF460303,11157.02369,4345.062092,0.389446345,2551.037426,4345.062092,4264.387558,4264.387558,4264.387558
BF460304,60454.76467,23235.97853,0.384353138,23235.97853,23235.97853,23235.97853,23235.97853,23235.97853
BF460305,35072.89228,1932.262576,0.055092764,1932.262576,1932.262576,1932.262576,1932.262576,1932.262576
BF460306,34572.32616,7493.171703,0.216739009,0,7493.171703,0,0,0
BF460307,13494.5499,9363.025335,0.693837542,9218.18636,9363.025335,9218.18636,9218.18636,9218.18636
BF460308,5015.31292,2091.943329,0.417111228,0,2091.943329,0,0,0
BF460309,85355.05938,27281.79464,0.319627153,27192.57765,27281.79464,27281.79464,27281.79464,27281.79464
BF460311,8565.736165,3290.851905,0.384187867,3290.851905,3290.851905,3290.851905,3290.851905,3290.851905
BF460401,72176.94479,0,0,0,0,0,0,0
BF460402,116131.3989,55866.60689,0.481063756,9540.497403,55866.60689,55866.60689,55866.60689,55866.60689
BF460403,15388.96756,0,0,0,0,0,0,0
BF460404,26961.05573,459.1013117,0.017028314,0,459.1013117,459.1013117,459.1013117,459.1013117
BF460405,46432.92694,4187.356954,0.090180767,0,4187.356954,0,0,0
BF460406,62808.52324,0,0,0,0,0,0,0
BF460407,45851.73427,8937.020366,0.194911283,0,8937.020366,8937.020366,8937.020366,8937.020366
BF460501,39910.59577,20.63210726,5.17E-04,20.63210726,20.63210726,20.63210726,20.63210726,20.63210726
BF460502,19732.46763,3309.498545,0.167718433,3309.498545,3309.498545,3309.498545,3309.498545,3309.498545
BF460503,20819.4605,0,0,0,0,0,0,0
BF460504,33616.80227,0,0,0,0,0,0,0
BF460505,37408.5342,0,0,0,0,0,0,0
BF460506,39395.58458,0,0,0,0,0,0,0
BF460601,24093.66191,11165.47309,0.463419514,2590.65616,11165.47309,2590.65616,2590.65616,2590.65616
BF460602,15742.32486,11309.63025,0.718421856,10659.75322,11309.63025,11309.63025,11309.63025,11309.63025
BF460603,22917.47771,10408.32702,0.454165469,0,10408.32702,6701.975719,6701.975719,6701.975719
BF460604,35391.62553,3963.243042,0.111982509,0,3963.243042,0,0,0
BF460605,22891.24039,17056.00101,0.745088546,2784.61653,17056.00101,17056.00101,17056.00101,17056.00101
BF460606,22335.3126,9640.084641,0.43160733,9640.084641,9640.084641,9640.084641,9640.084641,9640.084641
BF460607,35187.86909,19502.42428,0.55423715,10159.31382,19502.42428,14385.73276,14385.73276,17453.25356
BF460608,73009.89496,22168.14307,0.303632036,21859.14324,22168.14307,21859.14324,21859.14324,21973.48137
BF470101,154852.8872,109473.8844,0.706954106,96172.37003,109473.8844,96172.37003,96172.37003,96172.37003
BF470102,12600.12327,6810.765427,0.540531651,0,6810.765427,6810.765427,6810.765427,6810.765427
BF470103,93400.24542,18029.80747,0.193038117,0,18029.80747,0,0,2128.896771
BF470104,17191.78076,8125.676559,0.472648917,0,8125.676559,8125.676559,8125.676559,8125.676559
BF470105,111487.709,40216.02396,0.360721593,0,40216.02396,32597.76217,32597.76217,35261.28952
BF470106,108838.133,10226.27519,0.093958569,7871.62571,10226.27519,7871.62571,7871.62571,10226.27519
BF470107,217994.228,28150.57864,0.129134514,5795.125571,28150.57864,5795.125571,5795.125571,5795.125571
BF470108,47797.77422,2517.964514,0.052679535,0,2517.964514,53.91800737,59.70172071,59.70172071
BF470109,102194.748,0,0,0,0,0,0,0
BF470201,17584.20809,0,0,0,0,0,0,0
BF470202,10767.49638,8245.686942,0.765794262,0,8245.686942,0,8245.686942,8245.686942
BF470203,12195.76776,1560.541417,0.12795762,0,1560.541417,1560.541417,1560.541417,1560.541417
BF470204,37311.58833,5558.213469,0.148967485,0,5558.213469,5558.213469,5558.213469,5558.213469
BF470205,52488.14608,0,0,0,0,0,0,0
BF470206,14695.66389,0,0,0,0,0,0,0
BF470207,22786.09986,1564.255679,0.068649558,0,1564.255679,981.7271795,1564.255679,1564.255679
BF470208,5618.824086,96.76121759,0.017220902,0,96.76121759,96.76121759,96.76121759,96.76121759
BF480101,45009.76864,0,0,0,0,0,0,0
BF480102,36572.1563,0,0,0,0,0,0,0
BF480103,27580.33929,24432.04637,0.885850102,0,24432.04637,24432.04637,24432.04637,24432.04637
BF480104,67852.9873,19330.0861,0.284881873,0,19330.0861,19330.0861,19330.0861,19330.0861
BF480105,104539.447,17233.51834,0.164851822,4619.346725,17233.51834,4619.346725,4619.346725,4619.346725
BF480106,26430.02837,902.8610806,0.034160428,0,902.8610806,902.8610806,902.8610806,902.8610806
BF480107,97129.67353,45519.19803,0.468643581,33973.44174,45519.19803,45519.19803,45519.19803,45519.19803
BF480108,27092.47302,6859.420747,0.253185479,0,6859.420747,6859.420747,6859.420747,6859.420747
BF480109,19469.24214,10876.13751,0.558631786,0,10876.13751,10876.13751,10876.13751,10876.13751
BF480110,157340.9009,53824.33408,0.342087364,46579.62006,53824.33408,53824.33408,53824.33408,53824.33408
BF480111,106778.4453,49068.09867,0.45953187,7026.265156,49068.09867,7026.265156,7026.265156,21706.4755
BF480112,11241.78335,5783.297393,0.514446615,5783.297393,5783.297393,5783.297393,5783.297393,5783.297393
BF480113,17615.09431,11852.97464,0.672887379,0,11852.97464,7242.453911,7242.453911,7246.734761
BF480202,14762.05964,0,0,0,0,0,0,0
BF480201,72443.25822,17939.65005,0.247637261,17939.65005,17939.65005,17939.65005,17939.65005,17939.65005
BF480203,16571.60296,0,0,0,0,0,0,0
BF480204,52429.96878,18665.9592,0.356016981,0,18665.9592,722.5666099,18665.9592,18665.9592
BF480205,61882.33963,16310.50738,0.263572895,3836.007493,16310.50738,3836.007493,16310.50738,16310.50738
BF480206,60382.98275,14426.89607,0.23892321,11886.08872,14426.89607,11886.08872,11886.08872,11886.08872
BF480207,57749.2896,20314.54795,0.351771391,20314.54795,20314.54795,20314.54795,20314.54795,20314.54795
