ADM3_PCODE,MNDWI,BRBA,NBAI,NDSI,VARI,SAVI,OSAVI,NDMI,NBAI,EVI,NDVI,SR,ARVI,UI
BF130001,-0.20691715739381208,0.7270179206399218,-0.5491733017749416,-0.20691715739381208,-0.08653385401327383,0.1366434257962636,0.11958205448940074,-0.01825431641251611,-0.5491733017749416,0.309441145447802,0.1402158336568342,1.3261651915577841,0.2517609580112476,-0.08829895178744848
BF130002,-0.21500424450528008,0.717689039810212,-0.525266732339633,-0.21500424450528008,-0.08863154858961987,0.1243687419981957,0.10788460181087699,-0.03483826794041652,-0.525266732339633,0.27035862087670937,0.12570076555657694,1.2875463241977967,0.24877332796174448,-0.059259493239480224
BF130003,-0.2153015157563353,0.718307345146544,-0.5319628261877763,-0.2153015157563353,-0.0831686358510303,0.1339352233195034,0.11690284196004515,-0.03283793125419647,-0.5319628261877763,0.29730767449167445,0.13681294328736407,1.3169948905591862,0.2609044196559237,-0.06737329520799556
BF130004,-0.17772687392318975,0.7721185825083959,-0.4916701786553595,-0.17772687392318975,-0.0913425158386057,0.10741190272815423,0.09243285207069743,-0.02265880931587776,-0.4916701786553595,0.23048348205351304,0.10708853926052044,1.2398637355865794,0.23083754875082058,-0.04849833365766735
BF130005,-0.1835159935660109,0.7628537868205554,-0.4829681825898826,-0.1835159935660109,-0.08485153992746054,0.130370581310111,0.1113180246104626,-0.00621289741142564,-0.4829681825898826,0.29288574600797795,0.1282665787611256,1.294279364851787,0.24521943763065362,-0.08697816234033783
BF130006,-0.19800210385361186,0.7337355849179379,-0.5216616461370062,-0.19800210385361186,-0.0759844161713608,0.14109459512040187,0.12157976037773015,-0.003439766390507186,-0.5216616461370062,0.33483219329438646,0.14098873861808642,1.3282581846279273,0.26638750820254575,-0.10196084970153722
BF130007,-0.2121687565859774,0.7240694105243074,-0.5218479514724947,-0.2121687565859774,-0.08844309307046536,0.1380053383131902,0.11924276111503038,-0.01894504776779131,-0.5218479514724947,0.3039043443626787,0.13938301765167388,1.3239141697421444,0.2575822283286078,-0.07589895228465053
BF460101,-0.21611468662817998,0.6898120203219865,-0.562125930754939,-0.21611468662817998,-0.0691532949722629,0.15824728209111993,0.13926893109766503,-0.015146649040441204,-0.562125930754939,0.34637845174267906,0.1649730208173756,1.3951321931630551,0.27695688272654556,-0.08317908476918096
BF460102,-0.22922992306306766,0.6845966154027305,-0.5841445290923454,-0.22922992306306766,-0.07376094125378682,0.15796414519517493,0.14099261294395593,-0.020120263803611302,-0.5841445290923454,0.3350538703215573,0.16773946250463237,1.4030936346193539,0.2839181768305837,-0.08900969318510499
BF460103,-0.19142912296506015,0.7090139718317767,-0.564937744056234,-0.19142912296506015,-0.049717879793875715,0.15018722270658771,0.1336354166977425,-0.004664191393398611,-0.564937744056234,0.3485966221501541,0.15929863163513736,1.3789660339080168,0.26369104367574087,-0.08192490863610219
BF460104,-0.2103169909702338,0.7007413518258588,-0.5639616717751498,-0.2103169909702338,-0.06193507350243799,0.1529707116377217,0.13608070405055497,-0.01830130292066343,-0.5639616717751498,0.35282327397514035,0.1614923846880167,1.385190025085056,0.26723024991635574,-0.08584241247421107
BF460105,-0.20490231327041328,0.7097360192142685,-0.544264633733356,-0.20490231327041328,-0.07555455068397922,0.1477042491864052,0.13063543707674505,-0.011664609569599048,-0.544264633733356,0.33231976557343834,0.15436465451466358,1.365085625473871,0.26357716370750184,-0.08058182236425927
BF460106,-0.20026576881727814,0.6930590388494589,-0.5596906839640847,-0.20026576881727814,-0.062190803347613205,0.1651690390349128,0.14486218960159916,-0.005768198380335538,-0.5596906839640847,0.3610356751414787,0.17012764252489176,1.410009180309382,0.287847746196318,-0.08903845365203009
BF460107,-0.21196576389639188,0.7111889683200672,-0.5513501759896775,-0.21196576389639188,-0.07200532580651473,0.14528392530246717,0.1276289859895106,-0.013379885433866277,-0.5513501759896775,0.33185311150303193,0.1500661426839559,1.3531242846539633,0.25801362535984024,-0.0820810608787132
BF460108,-0.2293742910965921,0.6839074975741721,-0.5676878188101272,-0.2293742910965921,-0.0732037677357815,0.15176727321317168,0.1342576701706705,-0.029935404161141183,-0.5676878188101272,0.3249107636254328,0.15866990470353817,1.3771882299007199,0.2787558246060635,-0.07355283239672268
BF460109,-0.18859446219085627,0.7385958354459581,-0.5309068438617642,-0.18859446219085627,-0.06737816294869733,0.14407798496901578,0.12498280904475986,-0.0028740040579996783,-0.5309068438617642,0.3223461164192085,0.14562364738282862,1.3408887592376508,0.2543267633296838,-0.09270526092441563
BF460110,-0.22467959435950804,0.6944955096691218,-0.5658356006471941,-0.22467959435950804,-0.07538072353321594,0.1528273410107764,0.13503844131979684,-0.02059891879847438,-0.5658356006471941,0.3527999850719083,0.15945599311122696,1.3794114092882406,0.27957343751161967,-0.0873615659724024
BF460201,-0.2187317876012307,0.6998110184831888,-0.55040490718383,-0.2187317876012307,-0.0778226152657338,0.14259613693630233,0.12425362986387295,-0.015890474103129507,-0.55040490718383,0.3498321860565889,0.14524003988830642,1.33983819239574,0.25766861444362527,-0.08658447331317067
BF460202,-0.23154195461809338,0.6787163292621717,-0.5632385057931911,-0.23154195461809338,-0.07689875122280083,0.15612984675282462,0.138185401626268,-0.02476952472290435,-0.5632385057931911,0.3520475182139095,0.1644712832897261,1.3936939090191864,0.28147448861815794,-0.06116103104708633
BF460203,-0.20083885558009887,0.7179517359932553,-0.5385814051985715,-0.20083885558009887,-0.06321387980655463,0.1457910511712232,0.12776674730671378,-0.007896697782980269,-0.5385814051985715,0.3683506247505027,0.15151745422077303,1.3571492542174168,0.24484079844570975,-0.08644463081465484
BF460204,-0.20881937047304336,0.7070188509484008,-0.5584776612819037,-0.20881937047304336,-0.06179652828023343,0.15536372749182067,0.13701085160399082,-0.01597114866944591,-0.5584776612819037,0.3698879474215695,0.161552127229956,1.385359978781326,0.26230505593575504,-0.09299405298698721
