adm2_pcode,direct,true,hage,hgender1,mstat1,nation2,toit1,eauboi_ss1,eva_toi1,cuisin1,hmstat1,hreligion1,hbranch1,hcsp1,conflict_diffusion_indicator,geo_mndwi,geo_brba,geo_nbai,geo_vari,geo_savi,geo_osavi,geo_evi,geo_ndvi,geo_sr,geo_arvi,geo_ui
BF1300,.039663635,.064,.52043033,.65377706,-1.1028672,-1.3022618,-1.0346124,-.71793932,-.81855565,-1.0704334,.63000494,-.30010128,-.7167533,.55140424,-.19633149,-.21115786,.71942747,-.53375077,-.082865126,.13828465,.12059731,.29889041,.14107083,1.3308599,.26365918,-.074135706
BF4601,.33293426,.422,-.41932181,.23030198,-.034756847,.2072587,-1.1761012,-.58936679,-2.5339367,-.070254788,.23449759,-.071286887,.17859855,-.42269611,-.62040621,-.17885335,.74420321,-.5527125,-.05605296,.15098563,.13328125,.37209579,.15728052,1.3747118,.24988882,-.10980361
BF4602,.79550123,.527,-.79792851,1.2038398,.77317673,-.77141613,-.81301159,2.0643487,.84910697,.65878946,-.77256298,.88404983,-.20784754,.4677023,-.62040621,-.20773068,.70769864,-.55507886,-.064364001,.16039479,.14161777,.36719316,.16715382,1.4021038,.27236331,-.08720351
BF4603,.59716165,.504,.08224193,.57972723,1.1958103,.78583872,.33632576,2.1875432,.39060318,.86215222,-.77256298,.82575238,.17098373,-.42269611,.084549196,-.19531611,.73363411,-.51876867,-.07145267,.14675097,.12798816,.33622792,.14975385,1.3536353,.25980487,-.075176843
BF4604,.21511281,.33,-1.0474745,.36607438,.11206399,-2.9467287,-.77379799,.32689899,-3.789216,-1.1228966,-.33245936,-.0022201168,-.18879507,-.42269611,-.62040621,-.19940965,.7179153,-.55354595,-.062316716,.1567803,.13814437,.37330651,.16280819,1.3900727,.26122385,-.09691409
BF4605,.29719725,.478,-.34337956,1.0064561,-.64749312,.78583872,.011650905,2.2578373,.55463231,-1.3380629,-.77256298,-.72443742,.25357097,-.42269611,-.62040621,-.1987329,.7239449,-.55115873,-.067885257,.1422338,.12545796,.32931894,.14797895,1.3485237,.25356823,-.086021066
BF4606,.53617221,.523,-.92915696,1.2632629,-.70439178,.78583872,.64186484,2.5998664,.60887599,.86215222,-.77256298,.46154085,1.2641197,-.42269611,.51045978,-.15676939,.78644705,-.50423247,-.064940557,.13156292,.11391515,.32839048,.13258733,1.306677,.22882685,-.10379051
BF4701,.19843985,.211,-1.1069542,-.16789369,1.256034,.15913415,-1.0251226,-.25337833,.50410008,.47445503,.21392246,.7311607,.47929665,-.19898805,.089156754,-.19328402,.700589,-.57816428,-.030335499,.19965923,.17716995,.49200439,.20988488,1.5338722,.29323411,-.14198308
BF4702,.37485361,.488,-.44013336,.18013182,.11788066,.78583872,-.28523722,-.63964003,-1.6637822,.44841599,-.52023548,1.2481257,.21996473,-.42269611,-.62040621,-.21172258,.68885583,-.58327955,-.048232213,.19550119,.1735086,.45140216,.20557649,1.5190321,.30254954,-.12816246
BF4801,.25794819,.408,-.73118085,-1.9760957,.52882075,-1.0461017,-.89175135,-.70716888,.4968386,-.00059714646,1.1461618,.91811454,.38602412,-.42269611,-.62040621,-.21034431,.71238345,-.53489864,-.069607385,.14198922,.12408525,.31543833,.14537287,1.3433772,.26253027,-.072796769
