ADM1_PCODE,grid_cells_gte50habitants_gte3events,grid_cells_gte50habitants,conflict_diffusion_indicator
BF46,14.0,359.0,0.03899721448467967
BF47,9.0,182.0,0.04945054945054945
BF13,1.0,32.0,0.03125
BF48,11.0,146.0,0.07534246575342465
BF49,28.0,203.0,0.13793103448275862
BF50,0.0,221.0,0.0
BF51,0.0,114.0,0.0
BF52,40.0,476.0,0.08403361344537816
BF53,5.0,261.0,0.019157088122605363
BF54,15.0,167.0,0.08982035928143713
BF55,0.0,90.0,0.0
BF56,43.0,364.0,0.11813186813186813
BF57,5.0,165.0,0.030303030303030304
